task_id,uncertainty_level,uncertainty_value,task_description,condition,trial_id,timestamp,total_tokens,total_time,coordinator_tokens,coordinator_time,synthesis_tokens,synthesis_time,coordination_overhead_tokens,coordination_overhead_pct,worker_A_style,worker_A_tokens,worker_A_time,worker_A_output_length,worker_B_style,worker_B_tokens,worker_B_time,worker_B_output_length,worker_C_style,worker_C_tokens,worker_C_time,worker_C_output_length,final_output_length,success,quality_score
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,1,2026-06-01T12:26:17.225107,7407,91.16,958,13.0,3130,25.1,4088,55.2,S1_TELLING,974,16.04,881,S1_TELLING,1123,16.63,1246,S1_TELLING,1222,20.39,1488,2522,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,2,2026-06-01T12:27:16.219702,8108,100.79,978,14.94,3384,26.52,4362,53.8,S1_TELLING,1237,21.01,1419,S1_TELLING,1346,19.28,807,S1_TELLING,1163,19.04,1511,2756,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,3,2026-06-01T12:28:19.192399,7266,93.54,978,15.17,3055,25.18,4033,55.5,S1_TELLING,964,15.97,1128,S1_TELLING,1199,19.72,1251,S1_TELLING,1070,17.5,488,2176,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,4,2026-06-01T12:29:19.765165,7585,102.24,978,13.47,2772,26.67,3750,49.4,S1_TELLING,1266,21.12,1125,S1_TELLING,1346,20.93,0,S1_TELLING,1223,20.04,1234,2013,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,5,2026-06-01T12:30:21.532921,7788,111.49,978,15.49,2803,28.03,3781,48.5,S1_TELLING,1314,22.31,1640,S1_TELLING,1346,21.51,0,S1_TELLING,1347,24.15,1018,2260,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,1,2026-06-01T12:31:29.714023,8560,104.56,978,15.4,3942,24.83,4920,57.5,S1_TELLING,990,18.03,982,S3_PARTICIPATING,1328,24.32,1964,S4_DELEGATING,1322,21.98,2216,1848,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,2,2026-06-01T12:32:34.768168,7969,101.98,978,13.58,3221,26.25,4199,52.7,S1_TELLING,1345,21.99,509,S3_PARTICIPATING,1328,22.43,1662,S4_DELEGATING,1097,17.73,1166,2266,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,3,2026-06-01T12:33:37.536896,6752,100.1,978,15.41,2351,27.47,3329,49.3,S1_TELLING,945,16.95,642,S3_PARTICIPATING,1328,21.7,0,S4_DELEGATING,1150,18.57,874,1923,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,4,2026-06-01T12:34:42.615988,7904,109.05,978,13.82,2938,26.83,3916,49.5,S1_TELLING,1338,21.2,1022,S3_PARTICIPATING,1328,23.88,1727,S4_DELEGATING,1322,23.32,81,2219,True,4
L2,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,5,2026-06-01T12:35:47.655241,8574,107.15,978,14.9,3601,25.4,4579,53.4,S1_TELLING,1345,21.75,1226,S3_PARTICIPATING,1328,20.99,1572,S4_DELEGATING,1322,24.11,1389,1743,True,4
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,1,2026-06-01T12:36:52.569767,5139,74.1,972,13.87,1809,18.03,2781,54.1,S1_TELLING,1027,18.28,398,S1_TELLING,657,12.49,449,S1_TELLING,674,11.43,443,749,True,4
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,2,2026-06-01T12:37:43.252038,5640,74.35,972,15.06,1481,9.06,2453,43.5,S1_TELLING,1333,21.31,687,S1_TELLING,1144,17.21,670,S1_TELLING,710,11.71,498,314,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,3,2026-06-01T12:38:29.177268,4118,60.1,972,15.28,1041,6.8,2013,48.9,S1_TELLING,697,12.71,486,S1_TELLING,867,16.01,583,S1_TELLING,541,9.3,162,283,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,4,2026-06-01T12:39:07.770845,5077,69.72,972,15.2,1233,10.13,2205,43.4,S1_TELLING,696,11.41,524,S1_TELLING,941,13.75,447,S1_TELLING,1235,19.23,354,247,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,5,2026-06-01T12:39:52.841369,4657,64.43,972,13.44,1390,13.12,2362,50.7,S1_TELLING,820,13.55,583,S1_TELLING,1008,16.47,683,S1_TELLING,467,7.85,159,273,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,1,2026-06-01T12:40:36.375624,5409,76.95,972,14.53,1867,18.06,2839,52.5,S1_TELLING,1327,22.17,625,S3_PARTICIPATING,833,14.84,714,S4_DELEGATING,410,7.35,127,522,True,4
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,2,2026-06-01T12:41:31.632492,5280,80.16,972,15.9,1682,18.08,2654,50.3,S1_TELLING,1333,23.56,405,S3_PARTICIPATING,943,16.81,1133,S4_DELEGATING,350,5.81,125,222,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,3,2026-06-01T12:42:29.670970,4630,67.6,972,14.66,1292,11.34,2264,48.9,S1_TELLING,1333,23.15,596,S3_PARTICIPATING,654,11.74,580,S4_DELEGATING,379,6.71,71,181,True,3
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,4,2026-06-01T12:43:19.326118,5476,80.79,972,12.65,1952,22.02,2924,53.4,S1_TELLING,798,13.89,604,S3_PARTICIPATING,815,15.94,644,S4_DELEGATING,939,16.29,219,1021,True,4
L3,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,5,2026-06-01T12:44:10.791409,4389,69.6,972,13.67,1007,11.96,1979,45.1,S1_TELLING,1333,21.99,0,S3_PARTICIPATING,689,13.01,566,S4_DELEGATING,388,8.96,48,237,True,3
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,1,2026-06-01T12:44:58.919027,7905,117.63,983,15.68,3366,32.33,4349,55.0,S1_TELLING,1287,25.38,1274,S1_TELLING,1301,24.62,1200,S1_TELLING,968,19.63,819,1585,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,2,2026-06-01T12:46:12.801793,8227,122.97,983,14.52,3176,29.91,4159,50.6,S1_TELLING,1355,26.3,1353,S1_TELLING,1356,24.33,122,S1_TELLING,1357,27.91,1500,1973,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,3,2026-06-01T12:47:25.647693,7096,95.14,983,15.08,2849,21.21,3832,54.0,S1_TELLING,980,17.59,762,S1_TELLING,1238,23.21,1370,S1_TELLING,1046,18.05,744,1179,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,4,2026-06-01T12:48:25.646126,7804,111.27,908,16.71,3388,27.15,4296,55.0,S1_TELLING,904,15.36,822,S1_TELLING,1359,25.57,1233,S1_TELLING,1245,26.48,1249,1674,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,5,2026-06-01T12:49:36.492452,8179,115.06,983,15.04,3299,29.27,4282,52.4,S1_TELLING,1355,25.7,1345,S1_TELLING,1356,22.38,796,S1_TELLING,1186,22.67,1040,1569,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,1,2026-06-01T12:50:47.000612,8655,118.64,983,14.21,3662,29.09,4645,53.7,S1_TELLING,1355,23.44,638,S3_PARTICIPATING,1338,25.02,1506,S4_DELEGATING,1317,26.88,1650,2055,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,2,2026-06-01T12:51:57.685704,8888,124.35,983,14.0,3880,30.42,4863,54.7,S1_TELLING,1355,24.64,1010,S3_PARTICIPATING,1338,27.94,1849,S4_DELEGATING,1332,27.35,1628,1525,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,3,2026-06-01T12:53:10.543298,8051,109.33,983,13.6,3515,27.95,4498,55.9,S1_TELLING,883,15.54,647,S3_PARTICIPATING,1338,26.83,1522,S4_DELEGATING,1332,25.42,1363,1547,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,4,2026-06-01T12:54:19.415199,8560,115.79,983,14.28,3830,27.01,4813,56.2,S1_TELLING,1077,20.62,930,S3_PARTICIPATING,1338,24.71,1639,S4_DELEGATING,1332,29.17,1515,1845,True,4
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,5,2026-06-01T12:55:30.375842,9224,123.45,983,14.05,4216,28.9,5199,56.4,S1_TELLING,1355,26.51,1532,S3_PARTICIPATING,1338,27.43,1727,S4_DELEGATING,1332,26.57,1702,1875,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,1,2026-06-01T12:56:41.248403,8001,111.39,979,13.66,3573,29.38,4552,56.9,S1_TELLING,827,15.03,820,S1_TELLING,1273,25.09,1298,S1_TELLING,1349,28.23,1335,1726,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,2,2026-06-01T12:57:53.019194,7890,108.82,979,14.58,3490,28.92,4469,56.6,S1_TELLING,1031,19.49,1069,S1_TELLING,1348,25.83,1338,S1_TELLING,1042,20.0,937,1636,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,3,2026-06-01T12:59:02.853423,8205,117.62,979,14.48,3532,31.47,4511,55.0,S1_TELLING,997,19.25,861,S1_TELLING,1348,25.14,1362,S1_TELLING,1349,27.28,1119,2001,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,4,2026-06-01T13:00:16.583081,7777,110.58,979,15.59,3253,24.21,4232,54.4,S1_TELLING,848,16.14,951,S1_TELLING,1348,25.65,1496,S1_TELLING,1349,28.99,867,1584,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,5,2026-06-01T13:01:25.870464,7077,106.98,979,16.94,3068,30.22,4047,57.2,S1_TELLING,948,17.88,1033,S1_TELLING,1181,24.34,799,S1_TELLING,901,17.6,805,1974,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,1,2026-06-01T13:02:37.868497,8823,126.13,979,15.45,3899,32.47,4878,55.3,S1_TELLING,1344,25.13,1317,S3_PARTICIPATING,1330,28.5,1436,S4_DELEGATING,1271,24.57,1379,1346,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,2,2026-06-01T13:03:54.796772,8626,121.92,808,15.5,3758,29.17,4566,52.9,S1_TELLING,1373,24.95,1055,S3_PARTICIPATING,1348,26.3,1181,S4_DELEGATING,1339,26.0,1480,1350,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,3,2026-06-01T13:05:06.272247,8646,122.59,979,13.51,3760,31.22,4739,54.8,S1_TELLING,1253,26.09,1081,S3_PARTICIPATING,1330,25.95,1395,S4_DELEGATING,1324,25.82,1387,2008,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,4,2026-06-01T13:06:17.587111,9168,124.5,979,18.06,4188,30.03,5167,56.4,S1_TELLING,1347,24.65,1276,S3_PARTICIPATING,1330,24.64,1665,S4_DELEGATING,1324,27.13,1519,1227,True,4
M2,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,5,2026-06-01T13:07:33.303892,9126,123.08,979,14.9,4146,29.34,5125,56.2,S1_TELLING,1347,26.48,1293,S3_PARTICIPATING,1330,27.45,1358,S4_DELEGATING,1324,24.91,1798,1585,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,1,2026-06-01T13:08:45.493280,7394,105.55,987,16.5,3161,25.87,4148,56.1,S1_TELLING,1163,22.15,1775,S1_TELLING,932,16.79,806,S1_TELLING,1151,24.24,1081,1367,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,2,2026-06-01T13:09:52.613974,7684,114.69,987,14.92,3176,32.61,4163,54.2,S1_TELLING,1230,24.62,1208,S1_TELLING,926,17.62,690,S1_TELLING,1365,24.93,1044,1787,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,3,2026-06-01T13:11:05.570095,8915,125.52,987,14.94,3987,30.84,4974,55.8,S1_TELLING,1212,23.99,1387,S1_TELLING,1364,27.4,1432,S1_TELLING,1365,28.36,1521,1732,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,4,2026-06-01T13:12:20.209395,7851,112.04,987,15.89,3280,30.18,4267,54.3,S1_TELLING,1141,21.64,1203,S1_TELLING,1364,22.87,653,S1_TELLING,1079,21.46,1163,2125,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,5,2026-06-01T13:13:29.651124,8395,121.54,987,16.65,3571,30.77,4558,54.3,S1_TELLING,1363,27.01,1297,S1_TELLING,1288,23.68,1196,S1_TELLING,1186,23.43,1141,1983,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,1,2026-06-01T13:14:44.578069,8113,111.58,987,14.64,3654,30.67,4641,57.2,S1_TELLING,786,13.66,472,S3_PARTICIPATING,1346,25.75,1633,S4_DELEGATING,1340,26.87,1691,1887,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,2,2026-06-01T13:15:57.253331,8821,117.75,987,15.1,4040,30.41,5027,57.0,S1_TELLING,1108,20.39,1377,S3_PARTICIPATING,1346,26.73,1604,S4_DELEGATING,1340,25.12,1456,1777,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,3,2026-06-01T13:17:09.996466,8942,125.29,987,14.52,3906,32.57,4893,54.7,S1_TELLING,1363,26.6,908,S3_PARTICIPATING,1346,25.59,1558,S4_DELEGATING,1340,26.01,2236,1762,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,4,2026-06-01T13:18:24.184733,8798,123.02,987,15.41,3762,30.69,4749,54.0,S1_TELLING,1363,26.2,1185,S3_PARTICIPATING,1346,26.37,1654,S4_DELEGATING,1340,24.36,1317,1452,True,4
M3,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,5,2026-06-01T13:19:37.145739,8908,125.65,987,14.33,3872,31.92,4859,54.5,S1_TELLING,1363,25.8,2012,S3_PARTICIPATING,1346,26.8,1614,S4_DELEGATING,1340,26.8,997,1625,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,ST,1,2026-06-01T13:20:50.699988,8154,117.02,983,15.27,3536,31.36,4519,55.4,S1_TELLING,1096,20.19,1029,S1_TELLING,1182,22.04,1253,S1_TELLING,1357,28.16,1371,1882,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,ST,2,2026-06-01T13:22:05.987472,7821,110.53,983,15.72,3190,28.62,4173,53.4,S1_TELLING,1256,21.06,618,S1_TELLING,1072,20.07,1277,S1_TELLING,1320,25.06,1270,1894,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,ST,3,2026-06-01T13:23:15.886818,8564,120.63,983,15.09,3705,29.75,4688,54.7,S1_TELLING,1163,22.72,1125,S1_TELLING,1356,26.48,1196,S1_TELLING,1357,26.58,1758,2215,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,ST,4,2026-06-01T13:24:27.811445,7684,114.54,983,15.69,3240,32.17,4223,55.0,S1_TELLING,1355,26.45,1083,S1_TELLING,1046,20.58,1543,S1_TELLING,1060,19.65,1180,1946,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,ST,5,2026-06-01T13:25:42.619193,8677,125.08,983,16.06,3689,29.84,4672,53.8,S1_TELLING,1292,26.42,1359,S1_TELLING,1356,26.17,1343,S1_TELLING,1357,26.6,1244,1577,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,AOM-DT,1,2026-06-01T13:26:55.619049,8822,128.79,983,15.27,3814,34.07,4797,54.4,S1_TELLING,1355,25.32,1498,S3_PARTICIPATING,1338,26.19,1251,S4_DELEGATING,1332,27.93,1239,1575,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,AOM-DT,2,2026-06-01T13:28:13.397688,8634,122.46,983,14.82,3626,29.47,4609,53.4,S1_TELLING,1355,27.04,952,S3_PARTICIPATING,1338,24.56,1443,S4_DELEGATING,1332,26.57,1708,2733,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,AOM-DT,3,2026-06-01T13:29:25.228062,8914,123.06,983,15.47,3906,31.46,4889,54.8,S1_TELLING,1355,26.22,1411,S3_PARTICIPATING,1338,25.42,1366,S4_DELEGATING,1332,24.49,1802,2408,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,AOM-DT,4,2026-06-01T13:30:38.879162,8354,128.32,983,16.82,3587,32.33,4570,54.7,S1_TELLING,1114,21.32,1220,S3_PARTICIPATING,1338,28.53,1582,S4_DELEGATING,1332,29.32,1139,1453,True,4
H1,high,0.9,设计一套基于多Agent协作的在线教育平台架构，需要包含课程推荐、学习路径规划、自动答疑三个子系统。,AOM-DT,5,2026-06-01T13:31:57.856666,8792,126.71,983,15.38,3784,32.26,4767,54.2,S1_TELLING,1355,26.74,1474,S3_PARTICIPATING,1338,27.8,1506,S4_DELEGATING,1332,24.53,1046,1516,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,1,2026-06-01T13:33:13.796672,8522,119.49,982,14.63,3868,34.43,4850,56.9,S1_TELLING,1217,24.34,1383,S1_TELLING,1354,26.73,1711,S1_TELLING,1101,19.36,1151,1466,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,2,2026-06-01T13:34:30.091131,8384,125.14,982,17.03,3598,28.1,4580,54.6,S1_TELLING,1095,24.83,832,S1_TELLING,1354,26.41,1341,S1_TELLING,1355,28.77,1570,1953,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,3,2026-06-01T13:35:44.494019,8901,127.17,982,17.41,3860,30.92,4842,54.4,S1_TELLING,1350,23.94,1707,S1_TELLING,1354,27.01,1266,S1_TELLING,1355,27.89,1493,2061,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,4,2026-06-01T13:37:01.215815,8666,127.55,982,15.81,3765,33.68,4747,54.8,S1_TELLING,1210,23.15,1105,S1_TELLING,1354,26.38,1316,S1_TELLING,1355,28.53,1605,1739,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,5,2026-06-01T13:38:19.740838,8338,127.84,982,14.85,3294,32.3,4276,51.3,S1_TELLING,1353,28.4,1356,S1_TELLING,1354,24.75,693,S1_TELLING,1355,27.54,1003,1788,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,1,2026-06-01T13:39:35.786124,8601,126.05,982,15.28,3600,31.32,4582,53.3,S1_TELLING,1353,28.78,669,S3_PARTICIPATING,1336,27.31,1554,S4_DELEGATING,1330,23.37,1880,2105,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,2,2026-06-01T13:40:51.658401,8808,128.79,982,16.55,3807,31.26,4789,54.4,S1_TELLING,1353,28.5,1566,S3_PARTICIPATING,1336,28.47,1509,S4_DELEGATING,1330,24.01,1787,2418,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,3,2026-06-01T13:42:08.475448,8491,128.91,982,17.08,3745,35.24,4727,55.7,S1_TELLING,1098,22.13,877,S3_PARTICIPATING,1336,26.16,1679,S4_DELEGATING,1330,28.3,1468,2410,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,4,2026-06-01T13:43:29.598802,9041,126.94,949,17.78,4137,30.25,5086,56.3,S1_TELLING,1244,25.32,1298,S3_PARTICIPATING,1355,27.77,1640,S4_DELEGATING,1356,25.81,2616,1599,True,4
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,5,2026-06-01T13:44:45.905796,8266,131.9,880,17.41,3288,35.16,4168,50.4,S1_TELLING,1382,26.75,1651,S3_PARTICIPATING,1369,25.52,0,S4_DELEGATING,1347,27.05,1826,2038,True,4
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,ST,1,2026-06-01T13:46:06.037363,7831,128.48,981,17.05,3338,36.53,4319,55.2,S1_TELLING,1077,24.41,1022,S1_TELLING,1082,21.15,1068,S1_TELLING,1353,29.34,1073,619,True,4
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,ST,2,2026-06-01T13:47:29.467321,8444,127.15,981,16.93,3445,31.97,4426,52.4,S1_TELLING,1351,27.85,1062,S1_TELLING,1352,23.09,823,S1_TELLING,1315,27.31,1553,1703,True,4
