task_id,uncertainty_level,uncertainty_value,task_description,condition,agent_id,agent_name,readiness_score,selected_style,execution_time_seconds,token_consumed,success,output_quality,output_length,error_message,run_id
M3,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,32.81,1592,True,3,3107,,1
M3,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.67,1592,True,3,3436,,2
M4,medium,0.5,对比Transformer和Mamba架构在长序列处理上的性能差异，分析各自的适用场景。,ST,agent_002,成长期Agent,0.54,S1_TELLING,30.2,1710,True,3,2297,,1
M4,medium,0.5,对比Transformer和Mamba架构在长序列处理上的性能差异，分析各自的适用场景。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.5,1710,True,3,1708,,2
M4,medium,0.5,对比Transformer和Mamba架构在长序列处理上的性能差异，分析各自的适用场景。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,27.42,1584,True,3,3298,,1
M4,medium,0.5,对比Transformer和Mamba架构在长序列处理上的性能差异，分析各自的适用场景。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,25.86,1584,True,3,3878,,2
M5,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.43,1734,True,3,1989,,1
M5,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.46,1734,True,3,2156,,2
M5,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,29.44,1608,True,3,2265,,1
M5,medium,0.5,评估当前AI代码生成工具（Copilot、Cursor、Claude）的成熟度，从准确性、安全性、集成度三个维度打分。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,30.83,1608,True,3,1559,,2
H1,high,0.9,预测2026-2028年AI Agent技术对社会生产力的影响，考虑就业结构变化、产业升级、教育转型三个维度。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.29,1734,True,3,1543,,1
H1,high,0.9,预测2026-2028年AI Agent技术对社会生产力的影响，考虑就业结构变化、产业升级、教育转型三个维度。,ST,agent_002,成长期Agent,0.54,S1_TELLING,31.92,1734,True,3,1564,,2
H1,high,0.9,预测2026-2028年AI Agent技术对社会生产力的影响，考虑就业结构变化、产业升级、教育转型三个维度。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,29.36,1608,True,3,3614,,1
H1,high,0.9,预测2026-2028年AI Agent技术对社会生产力的影响，考虑就业结构变化、产业升级、教育转型三个维度。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,33.31,1608,True,3,2423,,2
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.24,1724,True,3,2164,,1
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.7,1724,True,3,1789,,2
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,26.76,1598,True,3,4023,,1
H2,high,0.9,设计一个基于多Agent协作的智慧城市交通管理系统，包括架构设计、Agent角色定义、通信协议和异常处理机制。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,30.06,1598,True,3,2517,,2
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.9,1722,True,3,1762,,1
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.64,1722,True,3,1779,,2
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,26.3,1596,True,3,4052,,1
H3,high,0.9,提出一个AI Agent伦理治理框架，涵盖责任归属、透明度要求、偏见检测和人类监督四个层面。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.11,1596,True,3,3135,,2
H4,high,0.9,设计一个去中心化的多Agent协作协议，使不同组织的Agent能够在无需中心化协调的情况下完成复杂任务。,ST,agent_002,成长期Agent,0.54,S1_TELLING,36.37,1722,True,3,2119,,1
H4,high,0.9,设计一个去中心化的多Agent协作协议，使不同组织的Agent能够在无需中心化协调的情况下完成复杂任务。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.99,1722,True,3,1867,,2
H4,high,0.9,设计一个去中心化的多Agent协作协议，使不同组织的Agent能够在无需中心化协调的情况下完成复杂任务。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,26.56,1596,True,3,4093,,1
H4,high,0.9,设计一个去中心化的多Agent协作协议，使不同组织的Agent能够在无需中心化协调的情况下完成复杂任务。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.28,1596,True,3,4643,,2
H5,high,0.9,提出一种新的Agent能力评估方法论，超越传统的任务成功率指标，考虑泛化能力、鲁棒性、可解释性等维度。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.52,1732,True,3,2101,,1
H5,high,0.9,提出一种新的Agent能力评估方法论，超越传统的任务成功率指标，考虑泛化能力、鲁棒性、可解释性等维度。,ST,agent_002,成长期Agent,0.54,S1_TELLING,30.86,1732,True,3,1819,,2
H5,high,0.9,提出一种新的Agent能力评估方法论，超越传统的任务成功率指标，考虑泛化能力、鲁棒性、可解释性等维度。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.94,1606,True,3,3217,,1
H5,high,0.9,提出一种新的Agent能力评估方法论，超越传统的任务成功率指标，考虑泛化能力、鲁棒性、可解释性等维度。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,27.94,1606,True,3,3435,,2
